5.5519505,-10.43295,2.5780501,2.8062375,2.210175,-1.2417625,Running
6.6010504,-9.982051,1.48395,3.0262375,2.293225,-1.9448,Running
7.15005,-9.07005,5.124,2.6791875,1.4161125,-1.6368,Running
7.1569505,-8.586,12.084001,1.3451625,0.235125,-1.0437624,Running
8.967,-10.60995,0.78000003,1.8981875,-0.583825,-1.3178,Running
10.89795,-10.500001,-0.432,2.464275,-1.007875,-2.3507,Running
4.27605,-12.612,-6.2580004,1.886225,0.032175,-3.008775,Running
0.63495004,-15.739951,-5.5519505,1.748175,1.2372249,-3.5578125,Running
3.4470003,-20.458052,7.8550506,1.6522,3.3022,-4.0467625,Running
3.9379501,-20.674051,6.8440504,1.2342,5.1022124,-2.9987376,Running
2.6779501,-19.95795,-2.21595,0.8102875,5.6892,-1.1858,Running
5.36805,-20.04405,0.52605003,0.65725,4.701125,0.1573,Running
10.26795,-18.80805,3.8790002,0.4032875,3.096225,0.253275,Running
7.9399505,-17.608051,-0.21900001,-0.4637875,1.3891625,-0.22275,Running
4.1460004,-12.439951,-4.026,-1.5577375,-0.853875,-0.621775,Running
2.154,-5.6449504,-4.905,-1.7117375,-2.5408626,-0.5577,Running
-0.28605002,-3.13995,-6.6340504,-1.2398375,-1.3948,-0.0977625,Running
-3.1260002,-1.9780501,-8.589001,-0.7968125,1.1791999,0.2563,Running
-5.7660003,-0.15300001,-9.108001,0.1901625,1.181125,0.7162375,Running
-7.26,0.9289501,-6.9859505,-0.0598125,-5.076775,1.03125,Running
-8.736,2.6479502,-1.5310501,-1.089825,-7.408775,0.946275,Running
-9.16395,3.5850003,5.9670005,-0.1728375,-6.9708376,1.8602375,Running
-6.4290004,1.89795,14.400001,-0.0837375,-6.2448373,3.2632875,Running
-1.8090001,-0.27795002,5.74695,-1.0498124,-3.6498,2.7753,Running
1.2100501,1.19895,-13.42395,-1.5717624,2.0851874,1.2243,Running
-2.01,-6.5479503,-2.97195,-1.9017625,8.370175,0.2371875,Running
-7.5120006,-24.381,1.6350001,-4.0957127,1.28315,0.4522375,Running
-2.1040502,-25.441952,-10.986,-4.2477875,2.6082375,0.8861875,Running
5.727,-15.670051,-9.03705,-4.00675,-1.881825,0.747175,Running
8.469001,-17.232,-5.3890505,-1.484725,-3.0328374,0.3752375,Running
14.301001,-27.681002,-4.04505,0.1502875,-0.0078375,0.43725,Running
16.974,-26.101051,-3.5779502,-0.50875,1.1911625,-0.1007875,Running
14.908951,-17.035952,-0.81405,-0.3777125,0.9741875,-0.429825,Running
